AnonID,Cset,Phase,ResponseType,ConclusionRaw,Difficulty,Comparability,ConclusionClass,Type,Mating,Cset Quality (voted),Cset Quality (prescreen),Intervening bullets (min),Intervening bullets (max),Caliber Q1,Q1 Quality (prescreen),Q2 Quality (prescreen),Cset Category (Detailed)
BBEAR,KQ1337,Primary (Baseline),KQ,Insuff,Diff,LowRepro,Inconclusive,KQ,Nonmated,A:A,P,,,9ML,P,,"Same Model, Diff Sess, Polygonal, FMJ"
BBEAR,KQ1556,Primary (Baseline),KQ,Insuff,Norm,LowRepro,Inconclusive,KQ,Nonmated,A:B,G,,,038,G,,"Diff Model, FMJ"
BBEAR,KQ1664,Primary (Baseline),KQ,LeanExcl,Norm,ModRepro,NonMatch,KQ,Nonmated,A:A,P,,,038,P,,"Diff Make, JHP"
BBEAR,KQ1743,Primary (Baseline),KQ,ID,Diff,ModRepro,Match,KQ,Mated,A:C,B,0.0,8.0,9ML,B,,"Same Model, Same SubSess, FMJ, Poor quality"
BBEAR,KQ1820,Primary (Baseline),KQ,ID,Easy,HiRepro,Match,KQ,Mated,A:B,G,40.0,58.0,038,G,,"Same Model, Diff Sess, JHP"
BBEAR,KQ2067,Primary (Baseline),KQ,Insuff,Diff,LowRepro,Inconclusive,KQ,Mated,A:D,U,0.0,8.0,9ML,U,,"Same Model, Same SubSess, FMJ, Poor quality"
BBEAR,KQ2091,Primary (Baseline),KQ,LeanExcl,Norm,LowRepro,NonMatch,KQ,Nonmated,A:A,P,,,040,P,,"Same Model, Diff Sess, FMJ"
BBEAR,KQ2138,Supplemental,KQ,Insuff,Norm,LowRepro,Inconclusive,KQ,Nonmated,A:B,G,,,9ML,G,,"Same Model, Diff Sess, JHP"
BBEAR,KQ2235,Primary (Baseline),KQ,LeanID,Diff,LowRepro,Match,KQ,Mated,A:A,P,0.0,8.0,9ML,P,,"Same Model, Same SubSess, Polygonal, FMJ"
BBEAR,KQ2267,Primary (Baseline),KQ,ID,Norm,HiRepro,Match,KQ,Mated,A:B,G,0.0,8.0,038,G,,"Same Model, Same SubSess, JHP"
BBEAR,KQ2297,Primary (Baseline),KQ,LeanExcl,Norm,HiRepro,NonMatch,KQ,Nonmated,A:B,G,,,9ML,G,,"Diff Make, FMJ"
BBEAR,KQ2525,Primary (Baseline),KQ,LeanExcl,Diff,LowRepro,NonMatch,KQ,Nonmated,A:A,P,,,9ML,P,,"Same Model, Diff Sess, JHP"
BBEAR,KQ2646,Primary (Baseline),KQ,Excl,Easy,HiRepro,NonMatch,KQ,Nonmated,A:A,P,,,9ML,P,,"Same Model, Diff Sess, FMJ"
BBEAR,KQ2796,Primary (Baseline),KQ,Excl,VEasy,HiRepro,NonMatch,KQ,Nonmated,A:B,G,,,9ML,G,,"Diff Make, FMJ"
BBEAR,KQ2808,Primary (Baseline),KQ,Excl,VEasy,ModRepro,NonMatch,KQ,Nonmated,A:A,P,,,9ML,P,,"Diff Model, FMJ"
BBEAR,KQ2828,Primary (Baseline),KQ,LeanID,Diff,LowRepro,Match,KQ,Mated,A:A,P,0.0,8.0,9ML,P,,"Same Model, Same SubSess, FMJ"
BBEAR,KQ2948,Supplemental,KQ,LeanExcl,Norm,ModRepro,NonMatch,KQ,Nonmated,A:A,P,,,9ML,P,,"Same Model, Diff Sess, JHP"
BBEAR,KQ2954,Primary (Baseline),KQ,Excl,Norm,HiRepro,NonMatch,KQ,Nonmated,A:B,G,,,9ML,G,,"Same Model, Diff Sess, FMJ"
BBEAR,KQ3038,Supplemental,KQ,ID,Easy,HiRepro,Match,KQ,Mated,A:A,P,0.0,8.0,9ML,P,,"Same Model, Same SubSess, FMJ"
BBEAR,KQ3379,Primary (Baseline),KQ,Insuff,Norm,ModRepro,Inconclusive,KQ,Nonmated,A:C,G,,,9ML,G,,"Diff Make, FMJ, Poor quality"
BBEAR,KQ3415,Primary (Baseline),KQ,Insuff,Norm,ModRepro,Inconclusive,KQ,Nonmated,A:B,G,,,038,G,,"Same Model, Diff Sess, FMJ"
BBEAR,KQ3620,Primary (Baseline),KQ,Insuff,Norm,ModRepro,Inconclusive,KQ,Nonmated,A:B,G,,,9ML,G,,"Same Model, Diff Sess, FMJ"
BBEAR,KQ3699,Primary (Baseline),KQ,LeanExcl,Norm,ModRepro,NonMatch,KQ,Mated,A:B,G,30.0,48.0,038,G,,"Same Model, Same Sess, JHP"
BBEAR,KQ3776,Primary (Baseline),KQ,ID,Diff,ModRepro,Match,KQ,Mated,A:C,G,20.0,38.0,9ML,G,,"Same Model, Same Sess, FMJ, Poor quality"
BBEAR,KQ3813,Primary (Baseline),KQ,Insuff,Norm,LowRepro,Inconclusive,KQ,Nonmated,A:A,P,,,9ML,P,,"Same Model, Diff Sess, Polygonal, FMJ"
BBEAR,KQ3823,Primary (Baseline),KQ,Insuff,Norm,ModRepro,Inconclusive,KQ,Nonmated,A:C,U,,,9ML,U,,"Same Model, Diff Sess, FMJ, Poor quality"
BBEAR,KQ3885,Primary (Baseline),KQ,ID,Easy,HiRepro,Match,KQ,Mated,A:A,P,0.0,8.0,038,P,,"Same Model, Same SubSess, JHP"
BBEAR,KQ3894,Primary (Baseline),KQ,LeanExcl,Norm,ModRepro,NonMatch,KQ,Nonmated,A:C,G,,,038,G,,"Same Model, Diff Sess, FMJ"
BBEAR,KQ3974,Primary (Baseline),KQ,ID,Norm,HiRepro,Match,KQ,Mated,A:A,P,0.0,8.0,038,P,,"Same Model, Same SubSess, FMJ"
BBEAR,KQ4238,Supplemental,KQ,Insuff,Diff,ModRepro,Inconclusive,KQ,Nonmated,A:C,G,,,9ML,G,,"Diff Model, FMJ, Poor quality"
BBEAR,KQ4304,Primary (Baseline),KQ,Insuff,Norm,ModRepro,Inconclusive,KQ,Nonmated,A:B,G,,,040,G,,"Same Model, Diff Sess, JHP"
BBEAR,KQ4442,Primary (Baseline),KQ,LeanExcl,Norm,ModRepro,NonMatch,KQ,Nonmated,A:B,G,,,038,G,,"Same Model, Diff Sess, JHP"
BBEAR,KQ4523,Supplemental,KQ,Insuff,Diff,LowRepro,Inconclusive,KQ,Nonmated,A:B,G,,,9ML,G,,"Same Model, Diff Sess, JHP"
BBEAR,KQ4599,Primary (Baseline),KQ,Insuff,Norm,LowRepro,Inconclusive,KQ,Nonmated,A:B,G,,,038,G,,"Diff Model, JHP"
BBEAR,KQ4894,Supplemental,KQ,Insuff,Diff,LowRepro,Inconclusive,KQ,Nonmated,A:C,B,,,040,B,,"Same Model, Diff Sess, FMJ, Poor quality"
BDMJL,KQ1115,Primary (Baseline),KQ,ID,Norm,HiRepro,Match,KQ,Mated,A:B,G,30.0,48.0,9ML,G,,"Same Model, Same Sess, JHP"
BDMJL,KQ1148,Primary (2nd assignments),KQ,Excl,Diff,ModRepro,NonMatch,KQ,Nonmated,A:B,G,,,9ML,G,,"Same Model, Diff Sess, JHP"
BDMJL,KQ1148,Primary (Baseline),KQ,Excl,Norm,HiRepro,NonMatch,KQ,Nonmated,A:B,G,,,9ML,G,,"Same Model, Diff Sess, JHP"
BDMJL,KQ1199,Primary (Baseline),KQ,Excl,Norm,ModRepro,NonMatch,KQ,Nonmated,A:A,P,,,038,P,,"Diff Make, FMJ"
BDMJL,KQ1224,Primary (Baseline),KQ,ID,Norm,HiRepro,Match,KQ,Mated,A:A,G,0.0,8.0,9ML,G,,"Same Model, Same SubSess, JHP"
BDMJL,KQ1292,Primary (Baseline),KQ,ID,Norm,HiRepro,Match,KQ,Mated,A:A,P,0.0,8.0,9ML,P,,"Same Model, Same SubSess, JHP"
BDMJL,KQ1375,Primary (Baseline),KQ,Excl,Norm,LowRepro,NonMatch,KQ,Nonmated,A:B,G,,,9ML,G,,"Diff Make, JHP"
BDMJL,KQ1386,Primary (Baseline),KQ,LeanExcl,Diff,LowRepro,NonMatch,KQ,Nonmated,A:A,P,,,9ML,P,,"Same Model, Diff Sess, Polygonal, FMJ"
BDMJL,KQ1504,Primary (2nd assignments),KQ,ID,Norm,HiRepro,Match,KQ,Mated,A:B,B,0.0,8.0,9ML,B,,"Same Model, Same SubSess, JHP"
BDMJL,KQ1504,Primary (Baseline),KQ,ID,Easy,HiRepro,Match,KQ,Mated,A:B,B,0.0,8.0,9ML,B,,"Same Model, Same SubSess, JHP"
BDMJL,KQ1654,Primary (Baseline),KQ,Excl,Norm,HiRepro,NonMatch,KQ,Nonmated,A:B,G,,,9ML,G,,"Same Model, Diff Sess, FMJ"
BDMJL,KQ1692,Primary (Baseline),KQ,LeanExcl,Diff,LowRepro,NonMatch,KQ,Nonmated,A:D,U,,,9ML,U,,"Same Model, Diff Sess, FMJ, Poor quality"
BDMJL,KQ1774,Primary (Baseline),KQ,ID,Diff,ModRepro,Match,KQ,Mated,A:B,P,0.0,8.0,9ML,P,,"Same Model, Same SubSess, Polygonal, FMJ"
BDMJL,KQ1904,Primary (Baseline),KQ,Excl,Norm,ModRepro,NonMatch,KQ,Nonmated,A:A,P,,,038,P,,"Diff Model, JHP"
BDMJL,KQ2050,Primary (Baseline),KQ,Excl,Norm,HiRepro,NonMatch,KQ,Nonmated,A:B,G,,,9ML,G,,"Same Model, Diff Sess, FMJ"
BDMJL,KQ2114,Primary (Baseline),KQ,Excl,Norm,ModRepro,NonMatch,KQ,Nonmated,A:A,G,,,038,G,,"Same Model, Diff Sess, JHP"
BDMJL,KQ2313,Primary (Baseline),KQ,Excl,Diff,ModRepro,NonMatch,KQ,Nonmated,A:B,G,,,9ML,G,,"Same Model, Diff Sess, FMJ"
BDMJL,KQ2397,Primary (Baseline),KQ,Excl,Diff,ModRepro,NonMatch,KQ,Nonmated,A:B,G,,,038,G,,"Diff Make, FMJ"
BDMJL,KQ2533,Primary (Baseline),KQ,ID,Norm,HiRepro,Match,KQ,Mated,A:C,G,0.0,8.0,9ML,G,,"Same Model, Same SubSess, FMJ, Poor quality"
BDMJL,KQ2578,Primary (Baseline),KQ,ID,Norm,ModRepro,Match,KQ,Mated,A:A,P,0.0,8.0,038,P,,"Same Model, Same SubSess, JHP"
BDMJL,KQ2645,Primary (2nd assignments),KQ,Excl,Norm,ModRepro,NonMatch,KQ,Nonmated,A:A,P,,,9ML,P,,"Same Model, Diff Sess, FMJ"
BDMJL,KQ2645,Primary (Baseline),KQ,Excl,Easy,HiRepro,NonMatch,KQ,Nonmated,A:A,P,,,9ML,P,,"Same Model, Diff Sess, FMJ"
BDMJL,KQ2656,Primary (Baseline),KQ,Insuff,Diff,HiRepro,Inconclusive,KQ,Nonmated,A:B,G,,,038,G,,"Diff Make, FMJ"
BDMJL,KQ2739,Primary (Baseline),KQ,Excl,Norm,ModRepro,NonMatch,KQ,Nonmated,A:A,P,,,040,P,,"Diff Make, JHP"
BDMJL,KQ2884,Primary (Baseline),KQ,Excl,Norm,HiRepro,NonMatch,KQ,Nonmated,A:B,G,,,9ML,G,,"Same Model, Diff Sess, FMJ"
BDMJL,KQ2932,Primary (Baseline),KQ,ID,Norm,ModRepro,Match,KQ,Mated,A:C,B,0.0,8.0,038,B,,"Same Model, Same SubSess, FMJ, Poor quality"
BDMJL,KQ3019,Primary (Baseline),KQ,Excl,Norm,LowRepro,NonMatch,KQ,Nonmated,A:B,G,,,038,G,,"Diff Model, JHP"
BDMJL,KQ3087,Primary (Baseline),KQ,ID,Norm,ModRepro,Match,KQ,Mated,A:A,P,40.0,58.0,038,P,,"Same Model, Diff Sess, JHP"
BDMJL,KQ3234,Primary (Baseline),KQ,Excl,Norm,ModRepro,NonMatch,KQ,Nonmated,A:A,G,,,040,G,,"Same Model, Diff Sess, JHP"
BDMJL,KQ3290,Primary (Baseline),KQ,Excl,Norm,ModRepro,NonMatch,KQ,Nonmated,A:A,G,,,038,G,,"Diff Model, JHP"
BDMJL,KQ3313,Primary (Baseline),KQ,LeanExcl,Diff,ModRepro,NonMatch,KQ,Nonmated,A:A,P,,,9ML,P,,"Same Model, Diff Sess, FMJ"
BDMJL,KQ3382,Primary (Baseline),KQ,Excl,Norm,ModRepro,NonMatch,KQ,Nonmated,A:B,G,,,038,G,,"Diff Model, FMJ"
BDMJL,KQ3433,Primary (Baseline),KQ,ID,Norm,ModRepro,Match,KQ,Mated,A:C,G,30.0,48.0,040,G,,"Same Model, Same Sess, FMJ"
BDMJL,KQ3544,Primary (Baseline),KQ,Excl,Norm,ModRepro,NonMatch,KQ,Nonmated,A:B,G,,,038,G,,"Diff Make, FMJ"
BDMJL,KQ3609,Primary (Baseline),KQ,Excl,Norm,ModRepro,NonMatch,KQ,Nonmated,A:B,G,,,038,G,,"Same Model, Diff Sess, FMJ"
BDMJL,KQ3805,Primary (2nd assignments),KQ,Insuff,VDiff,LowRepro,Inconclusive,KQ,Mated,A:B,G,100.0,118.0,040,G,,"Same Model, Diff Sess, FMJ"
BDMJL,KQ3805,Primary (Baseline),KQ,ID,Norm,ModRepro,Match,KQ,Mated,A:B,G,100.0,118.0,040,G,,"Same Model, Diff Sess, FMJ"
BDMJL,KQ3869,Primary (2nd assignments),KQ,Excl,Norm,ModRepro,NonMatch,KQ,Nonmated,A:A,P,,,038,P,,"Diff Model, JHP"
BDMJL,KQ3869,Primary (Baseline),KQ,Excl,Norm,ModRepro,NonMatch,KQ,Nonmated,A:A,P,,,038,P,,"Diff Model, JHP"
BDMJL,KQ4111,Primary (Baseline),KQ,Excl,Norm,HiRepro,NonMatch,KQ,Nonmated,A:A,P,,,038,P,,"Same Model, Diff Sess, JHP"
BDMJL,KQ4116,Primary (Baseline),KQ,LeanExcl,Diff,ModRepro,NonMatch,KQ,Nonmated,A:A,P,,,9ML,P,,"Same Model, Diff Sess, JHP"
BDMJL,KQ4153,Primary (Baseline),KQ,Insuff,Diff,LowRepro,Inconclusive,KQ,Nonmated,A:B,G,,,038,G,,"Diff Model, FMJ"
BDMJL,KQ4162,Primary (Baseline),KQ,LeanID,Diff,ModRepro,Match,KQ,Mated,A:A,P,0.0,8.0,9ML,P,,"Same Model, Same SubSess, Polygonal, FMJ"
BDMJL,KQ4264,Primary (Baseline),KQ,Excl,Norm,ModRepro,NonMatch,KQ,Nonmated,A:B,G,,,040,G,,"Same Model, Diff Sess, JHP"
BDMJL,KQ4279,Primary (Baseline),KQ,Insuff,VDiff,LowRepro,Inconclusive,KQ,Nonmated,A:A,P,,,9ML,P,,"Same Model, Diff Sess, Polygonal, FMJ"
BDMJL,KQ4355,Primary (Baseline),KQ,Excl,Norm,ModRepro,NonMatch,KQ,Nonmated,A:C,B,,,9ML,B,,"Diff Make, FMJ, Poor quality"
BDMJL,KQ4403,Primary (Baseline),KQ,ID,Norm,LowRepro,Match,KQ,Mated,A:A,P,0.0,8.0,040,P,,"Same Model, Same SubSess, FMJ"
BDMJL,KQ4502,Primary (Baseline),KQ,ID,Norm,ModRepro,Match,KQ,Mated,A:B,G,30.0,48.0,9ML,G,,"Same Model, Same Sess, JHP"
BDMJL,KQ4503,Primary (Baseline),KQ,Excl,Norm,ModRepro,NonMatch,KQ,Nonmated,A:A,P,,,038,P,,"Same Model, Diff Sess, JHP"
BDMJL,KQ4860,Primary (Baseline),KQ,ID,Norm,HiRepro,Match,KQ,Mated,A:A,P,0.0,8.0,9ML,P,,"Same Model, Same SubSess, JHP"
BETXR,KQ1115,Primary (Baseline),KQ,ID,Norm,HiRepro,Match,KQ,Mated,A:B,G,30.0,48.0,9ML,G,,"Same Model, Same Sess, JHP"
BETXR,KQ1144,Primary (Baseline),KQ,ID,VDiff,LowRepro,Match,KQ,Mated,A:A,P,40.0,58.0,040,P,,"Same Model, Diff Sess, FMJ"
BETXR,KQ1199,Primary (Baseline),KQ,LeanExcl,Diff,LowRepro,NonMatch,KQ,Nonmated,A:A,P,,,038,P,,"Diff Make, FMJ"
BETXR,KQ1224,Primary (Baseline),KQ,ID,Norm,HiRepro,Match,KQ,Mated,A:A,G,0.0,8.0,9ML,G,,"Same Model, Same SubSess, JHP"
BETXR,KQ1227,Primary (Baseline),KQ,LeanExcl,Norm,HiRepro,NonMatch,KQ,Nonmated,A:B,G,,,038,G,,"Diff Model, JHP"
BETXR,KQ1266,Primary (Baseline),KQ,Excl,Norm,HiRepro,NonMatch,KQ,Nonmated,A:B,G,,,038,G,,"Diff Make, FMJ"
BETXR,KQ1302,Primary (Baseline),KQ,LeanID,VDiff,LowRepro,Match,KQ,Nonmated,A:B,G,,,038,G,,"Same Model, Diff Sess, FMJ"
BETXR,KQ1595,Primary (Baseline),KQ,Insuff,Diff,LowRepro,Inconclusive,KQ,Nonmated,A:A,P,,,9ML,P,,"Same Model, Diff Sess, Polygonal, FMJ"
BETXR,KQ1692,Primary (Baseline),KQ,Insuff,Diff,LowRepro,Inconclusive,KQ,Nonmated,A:D,U,,,9ML,U,,"Same Model, Diff Sess, FMJ, Poor quality"
BETXR,KQ1715,Primary (Baseline),KQ,ID,VDiff,LowRepro,Match,KQ,Mated,A:A,P,0.0,8.0,9ML,P,,"Same Model, Same SubSess, Polygonal, FMJ"
BETXR,KQ1941,Primary (Baseline),KQ,LeanExcl,Norm,HiRepro,NonMatch,KQ,Nonmated,A:A,P,,,038,P,,"Same Model, Diff Sess, JHP"
BETXR,KQ1983,Primary (Baseline),KQ,ID,Easy,HiRepro,Match,KQ,Mated,A:B,G,0.0,8.0,9ML,G,,"Same Model, Same SubSess, JHP"
BETXR,KQ2114,Primary (Baseline),KQ,Insuff,VDiff,ModRepro,Inconclusive,KQ,Nonmated,A:A,G,,,038,G,,"Same Model, Diff Sess, JHP"
BETXR,KQ2138,Primary (Baseline),KQ,ID,VDiff,ModRepro,Match,KQ,Nonmated,A:B,G,,,9ML,G,,"Same Model, Diff Sess, JHP"
BETXR,KQ2164,Primary (Baseline),KQ,ID,Norm,LowRepro,Match,KQ,Mated,A:A,P,0.0,8.0,038,P,,"Same Model, Same SubSess, FMJ"
BETXR,KQ2455,Primary (Baseline),KQ,ID,VEasy,HiRepro,Match,KQ,Mated,A:A,G,20.0,38.0,9ML,G,,"Same Model, Same Sess, JHP"
BETXR,KQ2578,Primary (Baseline),KQ,ID,Norm,ModRepro,Match,KQ,Mated,A:A,P,0.0,8.0,038,P,,"Same Model, Same SubSess, JHP"
BETXR,KQ2755,Primary (Baseline),KQ,Insuff,Norm,HiRepro,Inconclusive,KQ,Nonmated,A:B,G,,,038,G,,"Same Model, Diff Sess, JHP"
BETXR,KQ2884,Primary (Baseline),KQ,Excl,Norm,HiRepro,NonMatch,KQ,Nonmated,A:B,G,,,9ML,G,,"Same Model, Diff Sess, FMJ"
BETXR,KQ2932,Primary (Baseline),KQ,ID,Diff,LowRepro,Match,KQ,Mated,A:C,B,0.0,8.0,038,B,,"Same Model, Same SubSess, FMJ, Poor quality"
BETXR,KQ3124,Primary (Baseline),KQ,Insuff,VDiff,ModRepro,Inconclusive,KQ,Mated,A:B,G,0.0,8.0,9ML,G,,"Same Model, Same SubSess, FMJ"
BETXR,KQ3234,Primary (Baseline),KQ,Excl,Norm,ModRepro,NonMatch,KQ,Nonmated,A:A,G,,,040,G,,"Same Model, Diff Sess, JHP"
BETXR,KQ3290,Primary (Baseline),KQ,LeanExcl,Diff,ModRepro,NonMatch,KQ,Nonmated,A:A,G,,,038,G,,"Diff Model, JHP"
BETXR,KQ3382,Primary (Baseline),KQ,Insuff,Diff,LowRepro,Inconclusive,KQ,Nonmated,A:B,G,,,038,G,,"Diff Model, FMJ"
