Cset,Phase,ConclusionRaw,Difficulty,Comparability,ConclusionClass,Cset,Type,Assigns (Baseline),Assigns (Baseline+Repeat),Assigns (total),Q1 Quality (Voted),Q2 Quality (Voted),Cset Quality (voted),Q1 Quality (prescreen),Q2 Quality (prescreen),Cset Quality (prescreen),Subsession  Q2-K3,Intervening bullets (min),Intervening bullets (max),Cset Category (Detailed),Caliber Q1,Caliber Q2-K3
KQ2741,Primary (Baseline),Insuff,Norm,ModRepro,Inconclusive,KQ2741,KQ,3,3,3,B,,A:B,G,,G,20190618M_1,,,"Same Model, Diff Sess, FMJ",9ML,9ML
KQ2814,Primary (Baseline),Insuff,Norm,ModRepro,Inconclusive,KQ2814,KQ,2,2,2,B,,A:B,G,,G,20190415Q_1,,,"Same Model, Diff Sess, FMJ",038,038
KQ2873,Primary (Baseline),Insuff,Norm,ModRepro,Inconclusive,KQ2873,KQ,2,2,2,A,,A:A,P,,P,20190415J_3,,,"Same Model, Diff Sess, JHP",038,038
KQ3012,Primary (Baseline),Insuff,Norm,ModRepro,Inconclusive,KQ3012,KQ,3,3,3,A,,A:A,P,,P,20190415A_2,,,"Diff Model, FMJ",038,038
KQ3021,Primary (Baseline),Excl,Easy,ModRepro,NonMatch,KQ3021,KQ,3,3,3,B,,A:B,G,,G,20190508H_1,,,"Diff Model, JHP",9ML,9ML
KQ3038,Primary (Baseline),ID,Norm,ModRepro,Match,KQ3038,KQ,3,3,4,A,,A:A,P,,P,20190313A_1,0.0,8.0,"Same Model, Same SubSess, FMJ",9ML,9ML
KQ3102,Primary (Baseline),Insuff,Norm,ModRepro,Inconclusive,KQ3102,KQ,3,4,5,B,,A:B,G,,G,20190501K_2,,,"Same Model, Diff Sess, FMJ",040,040
KQ3253,Primary (Baseline),ID,Norm,HiRepro,Match,KQ3253,KQ,3,3,3,A,,A:A,P,,P,20190508L_1,0.0,8.0,"Same Model, Same SubSess, Polygonal, FMJ",9ML,9ML
KQ3600,Primary (Baseline),LeanID,Norm,ModRepro,Match,KQ3600,KQ,3,3,3,B,,A:B,G,,G,20190507A_3,,,"Same Model, Diff Sess, FMJ",040,040
KQ3828,Primary (Baseline),ID,Norm,ModRepro,Match,KQ3828,KQ,3,4,4,C,,A:C,G,,G,20190501P_1,0.0,8.0,"Same Model, Same SubSess, FMJ, Poor quality",040,040
KQ4130,Primary (Baseline),ID,Norm,HiRepro,Match,KQ4130,KQ,2,2,2,A,,A:A,P,,P,20190501R_0,0.0,8.0,"Same Model, Same SubSess, JHP",040,040
KQ4155,Primary (Baseline),LeanID,Norm,ModRepro,Match,KQ4155,KQ,3,3,3,A,,A:A,P,,P,20190507H_2,,,"Same Model, Diff Sess, JHP",040,040
KQ4277,Primary (Baseline),ID,Norm,HiRepro,Match,KQ4277,KQ,3,3,3,A,,A:A,P,,P,20190415F_0,40.0,58.0,"Same Model, Diff Sess, JHP",038,038
KQ4283,Primary (Baseline),LeanExcl,Norm,ModRepro,NonMatch,KQ4283,KQ,1,1,1,A,,A:A,P,,P,20190508G_4,,,"Same Model, Diff Sess, FMJ",9ML,9ML
KQ4369,Primary (Baseline),ID,Norm,ModRepro,Match,KQ4369,KQ,3,4,5,A,,A:A,P,,P,20190507D_2,,,"Same Model, Diff Sess, FMJ",040,040
KQ4431,Primary (Baseline),Excl,Easy,ModRepro,NonMatch,KQ4431,KQ,2,2,2,B,,A:B,G,,G,20190507P_2,,,"Diff Model, FMJ",9ML,9ML
KQ4552,Primary (Baseline),LeanID,Norm,ModRepro,Match,KQ4552,KQ,3,3,4,B,,A:B,G,,G,20190412F_4,,,"Same Model, Diff Sess, JHP",038,038
KQ4638,Primary (Baseline),Excl,Norm,ModRepro,NonMatch,KQ4638,KQ,3,3,3,B,,A:B,G,,G,20190507R_2,,,"Diff Make, JHP",9ML,9ML
KQ4708,Primary (Baseline),LeanID,Norm,ModRepro,Match,KQ4708,KQ,3,3,3,B,,A:B,G,,G,20190621B_4,30.0,48.0,"Same Model, Same Sess, JHP",9ML,9ML
KQ4800,Primary (Baseline),Insuff,Norm,ModRepro,Inconclusive,KQ4800,KQ,1,1,1,A,,A:A,P,,P,20190412J_2,,,"Diff Model, FMJ",038,038
KQ4811,Primary (Baseline),ID,Norm,HiRepro,Match,KQ4811,KQ,3,3,3,B,,A:B,G,,G,20190404B_1,50.0,68.0,"Same Model, Diff Sess, FMJ",9ML,9ML
KQ1044,Primary (Baseline),ID,Diff,ModRepro,Match,KQ1044,KQ,1,1,1,A,,A:A,P,,P,20190508B_0,0.0,8.0,"Same Model, Same SubSess, JHP",9ML,9ML
KQ1337,Primary (Baseline),Insuff,Diff,LowRepro,Inconclusive,KQ1337,KQ,1,1,1,A,,A:A,P,,P,20190508R_2,,,"Same Model, Diff Sess, Polygonal, FMJ",9ML,9ML
KQ1556,Primary (Baseline),Insuff,Norm,LowRepro,Inconclusive,KQ1556,KQ,3,4,4,B,,A:B,G,,G,20190415N_1,,,"Diff Model, FMJ",038,038
KQ1664,Primary (Baseline),LeanExcl,Norm,ModRepro,NonMatch,KQ1664,KQ,3,3,3,A,,A:A,P,,P,20190415B_3,,,"Diff Make, JHP",038,038
KQ1743,Primary (Baseline),ID,Diff,ModRepro,Match,KQ1743,KQ,1,1,1,C,,A:C,B,,B,20190508E_1,0.0,8.0,"Same Model, Same SubSess, FMJ, Poor quality",9ML,9ML
KQ1820,Primary (Baseline),ID,Easy,HiRepro,Match,KQ1820,KQ,3,3,3,B,,A:B,G,,G,20190412L_0,40.0,58.0,"Same Model, Diff Sess, JHP",038,038
KQ2067,Primary (Baseline),Insuff,Diff,LowRepro,Inconclusive,KQ2067,KQ,3,3,3,D,,A:D,U,,U,20190621D_2,0.0,8.0,"Same Model, Same SubSess, FMJ, Poor quality",9ML,9ML
KQ2091,Primary (Baseline),LeanExcl,Norm,LowRepro,NonMatch,KQ2091,KQ,3,4,4,A,,A:A,P,,P,20190501P_2,,,"Same Model, Diff Sess, FMJ",040,040
KQ2138,Supplemental,Insuff,Norm,LowRepro,Inconclusive,KQ2138,KQ,1,1,4,B,,A:B,G,,G,20190621O_1,,,"Same Model, Diff Sess, JHP",9ML,9ML
KQ2235,Primary (Baseline),LeanID,Diff,LowRepro,Match,KQ2235,KQ,3,3,3,A,,A:A,P,,P,20190508N_3,0.0,8.0,"Same Model, Same SubSess, Polygonal, FMJ",9ML,9ML
KQ2267,Primary (Baseline),ID,Norm,HiRepro,Match,KQ2267,KQ,3,3,3,B,,A:B,G,,G,20190501C_2,0.0,8.0,"Same Model, Same SubSess, JHP",038,038
KQ2297,Primary (Baseline),LeanExcl,Norm,HiRepro,NonMatch,KQ2297,KQ,1,1,1,B,,A:B,G,,G,20190508D_1,,,"Diff Make, FMJ",9ML,9ML
KQ2525,Primary (Baseline),LeanExcl,Diff,LowRepro,NonMatch,KQ2525,KQ,1,1,1,A,,A:A,P,,P,20190621I_1,,,"Same Model, Diff Sess, JHP",9ML,9ML
KQ2646,Primary (Baseline),Excl,Easy,HiRepro,NonMatch,KQ2646,KQ,3,3,3,A,,A:A,P,,P,20190618M_3,,,"Same Model, Diff Sess, FMJ",9ML,9ML
KQ2796,Primary (Baseline),Excl,VEasy,HiRepro,NonMatch,KQ2796,KQ,3,3,3,B,,A:B,G,,G,20190618M_0,,,"Diff Make, FMJ",9ML,9ML
KQ2808,Primary (Baseline),Excl,VEasy,ModRepro,NonMatch,KQ2808,KQ,3,3,3,A,,A:A,P,,P,20190508G_1,,,"Diff Model, FMJ",9ML,9ML
KQ2828,Primary (Baseline),LeanID,Diff,LowRepro,Match,KQ2828,KQ,1,1,1,A,,A:A,P,,P,20190621M_0,0.0,8.0,"Same Model, Same SubSess, FMJ",9ML,9ML
KQ2948,Supplemental,LeanExcl,Norm,ModRepro,NonMatch,KQ2948,KQ,2,2,3,A,,A:A,P,,P,20190508I_3,,,"Same Model, Diff Sess, JHP",9ML,9ML
KQ2954,Primary (Baseline),Excl,Norm,HiRepro,NonMatch,KQ2954,KQ,3,3,3,B,,A:B,G,,G,20190117A_4,,,"Same Model, Diff Sess, FMJ",9ML,9ML
KQ3038,Supplemental,ID,Easy,HiRepro,Match,KQ3038,KQ,3,3,4,A,,A:A,P,,P,20190313A_1,0.0,8.0,"Same Model, Same SubSess, FMJ",9ML,9ML
KQ3379,Primary (Baseline),Insuff,Norm,ModRepro,Inconclusive,KQ3379,KQ,3,3,3,C,,A:C,G,,G,20190621A_1,,,"Diff Make, FMJ, Poor quality",9ML,9ML
KQ3415,Primary (Baseline),Insuff,Norm,ModRepro,Inconclusive,KQ3415,KQ,3,4,4,B,,A:B,G,,G,20190412A_4,,,"Same Model, Diff Sess, FMJ",038,038
KQ3620,Primary (Baseline),Insuff,Norm,ModRepro,Inconclusive,KQ3620,KQ,3,3,3,B,,A:B,G,,G,20190621G_3,,,"Same Model, Diff Sess, FMJ",9ML,9ML
KQ3699,Primary (Baseline),LeanExcl,Norm,ModRepro,NonMatch,KQ3699,KQ,1,1,3,B,,A:B,G,,G,20190415I_4,30.0,48.0,"Same Model, Same Sess, JHP",038,038
KQ3776,Primary (Baseline),ID,Diff,ModRepro,Match,KQ3776,KQ,3,3,3,C,,A:C,G,,G,20190621S_4,20.0,38.0,"Same Model, Same Sess, FMJ, Poor quality",9ML,9ML
KQ3813,Primary (Baseline),Insuff,Norm,LowRepro,Inconclusive,KQ3813,KQ,3,3,3,A,,A:A,P,,P,20190508J_2,,,"Same Model, Diff Sess, Polygonal, FMJ",9ML,9ML
KQ3823,Primary (Baseline),Insuff,Norm,ModRepro,Inconclusive,KQ3823,KQ,3,4,4,C,,A:C,U,,U,20190621J_0,,,"Same Model, Diff Sess, FMJ, Poor quality",9ML,9ML
KQ3885,Primary (Baseline),ID,Easy,HiRepro,Match,KQ3885,KQ,3,4,4,A,,A:A,P,,P,20190415I_0,0.0,8.0,"Same Model, Same SubSess, JHP",038,038
KQ3894,Primary (Baseline),LeanExcl,Norm,ModRepro,NonMatch,KQ3894,KQ,1,1,1,C,,A:C,G,,G,20190412D_3,,,"Same Model, Diff Sess, FMJ",038,038
KQ3974,Primary (Baseline),ID,Norm,HiRepro,Match,KQ3974,KQ,3,3,3,A,,A:A,P,,P,20190415D_0,0.0,8.0,"Same Model, Same SubSess, FMJ",038,038
KQ4238,Supplemental,Insuff,Diff,ModRepro,Inconclusive,KQ4238,KQ,1,1,4,C,,A:C,G,,G,20190621A_2,,,"Diff Model, FMJ, Poor quality",9ML,9ML
KQ4304,Primary (Baseline),Insuff,Norm,ModRepro,Inconclusive,KQ4304,KQ,1,1,1,B,,A:B,G,,G,20190507F_2,,,"Same Model, Diff Sess, JHP",040,040
KQ4442,Primary (Baseline),LeanExcl,Norm,ModRepro,NonMatch,KQ4442,KQ,3,3,3,B,,A:B,G,,G,20190416E_3,,,"Same Model, Diff Sess, JHP",038,038
KQ4523,Supplemental,Insuff,Diff,LowRepro,Inconclusive,KQ4523,KQ,3,3,4,B,,A:B,G,,G,20190621B_2,,,"Same Model, Diff Sess, JHP",9ML,9ML
KQ4599,Primary (Baseline),Insuff,Norm,LowRepro,Inconclusive,KQ4599,KQ,1,1,1,B,,A:B,G,,G,20190501H_1,,,"Diff Model, JHP",038,038
KQ4894,Supplemental,Insuff,Diff,LowRepro,Inconclusive,KQ4894,KQ,3,3,4,C,,A:C,B,,B,20190501P_0,,,"Same Model, Diff Sess, FMJ, Poor quality",040,040
KQ1115,Primary (Baseline),ID,Norm,HiRepro,Match,KQ1115,KQ,3,3,3,B,,A:B,G,,G,20190508F_4,30.0,48.0,"Same Model, Same Sess, JHP",9ML,9ML
KQ1148,Primary (2nd assignments),Excl,Diff,ModRepro,NonMatch,KQ1148,KQ,3,5,5,B,,A:B,G,,G,20190618C_2,,,"Same Model, Diff Sess, JHP",9ML,9ML
KQ1148,Primary (Baseline),Excl,Norm,HiRepro,NonMatch,KQ1148,KQ,3,5,5,B,,A:B,G,,G,20190618C_2,,,"Same Model, Diff Sess, JHP",9ML,9ML
KQ1199,Primary (Baseline),Excl,Norm,ModRepro,NonMatch,KQ1199,KQ,3,3,3,A,,A:A,P,,P,20190501B_1,,,"Diff Make, FMJ",038,038
KQ1224,Primary (Baseline),ID,Norm,HiRepro,Match,KQ1224,KQ,3,3,3,A,,A:A,G,,G,20190320F_1,0.0,8.0,"Same Model, Same SubSess, JHP",9ML,9ML
KQ1292,Primary (Baseline),ID,Norm,HiRepro,Match,KQ1292,KQ,3,3,3,A,,A:A,P,,P,20190618O_0,0.0,8.0,"Same Model, Same SubSess, JHP",9ML,9ML
KQ1375,Primary (Baseline),Excl,Norm,LowRepro,NonMatch,KQ1375,KQ,3,3,3,B,,A:B,G,,G,20190621B_0,,,"Diff Make, JHP",9ML,9ML
KQ1386,Primary (Baseline),LeanExcl,Diff,LowRepro,NonMatch,KQ1386,KQ,3,3,3,A,,A:A,P,,P,20190508K_1,,,"Same Model, Diff Sess, Polygonal, FMJ",9ML,9ML
KQ1504,Primary (2nd assignments),ID,Norm,HiRepro,Match,KQ1504,KQ,3,5,5,B,,A:B,B,,B,20190313C_1,0.0,8.0,"Same Model, Same SubSess, JHP",9ML,9ML
KQ1504,Primary (Baseline),ID,Easy,HiRepro,Match,KQ1504,KQ,3,5,5,B,,A:B,B,,B,20190313C_1,0.0,8.0,"Same Model, Same SubSess, JHP",9ML,9ML
KQ1654,Primary (Baseline),Excl,Norm,HiRepro,NonMatch,KQ1654,KQ,3,3,3,B,,A:B,G,,G,20190618G_3,,,"Same Model, Diff Sess, FMJ",9ML,9ML
KQ1692,Primary (Baseline),LeanExcl,Diff,LowRepro,NonMatch,KQ1692,KQ,3,3,3,D,,A:D,U,,U,20190621P_0,,,"Same Model, Diff Sess, FMJ, Poor quality",9ML,9ML
KQ1774,Primary (Baseline),ID,Diff,ModRepro,Match,KQ1774,KQ,3,3,3,B,,A:B,P,,P,20190508R_0,0.0,8.0,"Same Model, Same SubSess, Polygonal, FMJ",9ML,9ML
KQ1904,Primary (Baseline),Excl,Norm,ModRepro,NonMatch,KQ1904,KQ,3,3,3,A,,A:A,P,,P,20190412L_2,,,"Diff Model, JHP",038,038
KQ2050,Primary (Baseline),Excl,Norm,HiRepro,NonMatch,KQ2050,KQ,3,3,3,B,,A:B,G,,G,20190618A_1,,,"Same Model, Diff Sess, FMJ",9ML,9ML
KQ2114,Primary (Baseline),Excl,Norm,ModRepro,NonMatch,KQ2114,KQ,3,3,3,A,,A:A,G,,G,20190415K_2,,,"Same Model, Diff Sess, JHP",038,038
KQ2313,Primary (Baseline),Excl,Diff,ModRepro,NonMatch,KQ2313,KQ,3,3,3,B,,A:B,G,,G,20190618S_3,,,"Same Model, Diff Sess, FMJ",9ML,9ML
KQ2397,Primary (Baseline),Excl,Diff,ModRepro,NonMatch,KQ2397,KQ,3,3,4,B,,A:B,G,,G,20190501A_2,,,"Diff Make, FMJ",038,038
KQ2533,Primary (Baseline),ID,Norm,HiRepro,Match,KQ2533,KQ,3,3,3,C,,A:C,G,,G,20190117C_0,0.0,8.0,"Same Model, Same SubSess, FMJ, Poor quality",9ML,9ML
KQ2578,Primary (Baseline),ID,Norm,ModRepro,Match,KQ2578,KQ,3,3,3,A,,A:A,P,,P,20190415O_0,0.0,8.0,"Same Model, Same SubSess, JHP",038,038
KQ2645,Primary (2nd assignments),Excl,Norm,ModRepro,NonMatch,KQ2645,KQ,3,5,5,A,,A:A,P,,P,20190618H_2,,,"Same Model, Diff Sess, FMJ",9ML,9ML
KQ2645,Primary (Baseline),Excl,Easy,HiRepro,NonMatch,KQ2645,KQ,3,5,5,A,,A:A,P,,P,20190618H_2,,,"Same Model, Diff Sess, FMJ",9ML,9ML
KQ2656,Primary (Baseline),Insuff,Diff,HiRepro,Inconclusive,KQ2656,KQ,3,3,3,B,,A:B,G,,G,20190501D_0,,,"Diff Make, FMJ",038,038
KQ2739,Primary (Baseline),Excl,Norm,ModRepro,NonMatch,KQ2739,KQ,3,3,3,A,,A:A,P,,P,20190507F_1,,,"Diff Make, JHP",040,040
KQ2884,Primary (Baseline),Excl,Norm,HiRepro,NonMatch,KQ2884,KQ,3,3,3,B,,A:B,G,,G,20190117A_2,,,"Same Model, Diff Sess, FMJ",9ML,9ML
KQ2932,Primary (Baseline),ID,Norm,ModRepro,Match,KQ2932,KQ,3,3,3,C,,A:C,B,,B,20190412P_3,0.0,8.0,"Same Model, Same SubSess, FMJ, Poor quality",038,038
KQ3019,Primary (Baseline),Excl,Norm,LowRepro,NonMatch,KQ3019,KQ,3,3,3,B,,A:B,G,,G,20190501H_0,,,"Diff Model, JHP",038,038
KQ3087,Primary (Baseline),ID,Norm,ModRepro,Match,KQ3087,KQ,3,3,3,A,,A:A,P,,P,20190501F_0,40.0,58.0,"Same Model, Diff Sess, JHP",038,038
KQ3234,Primary (Baseline),Excl,Norm,ModRepro,NonMatch,KQ3234,KQ,3,3,3,A,,A:A,G,,G,20190507K_3,,,"Same Model, Diff Sess, JHP",040,040
KQ3290,Primary (Baseline),Excl,Norm,ModRepro,NonMatch,KQ3290,KQ,3,3,3,A,,A:A,G,,G,20190415I_2,,,"Diff Model, JHP",038,038
KQ3313,Primary (Baseline),LeanExcl,Diff,ModRepro,NonMatch,KQ3313,KQ,3,3,3,A,,A:A,P,,P,20190621P_2,,,"Same Model, Diff Sess, FMJ",9ML,9ML
KQ3382,Primary (Baseline),Excl,Norm,ModRepro,NonMatch,KQ3382,KQ,3,3,3,B,,A:B,G,,G,20190412Q_2,,,"Diff Model, FMJ",038,038
KQ3433,Primary (Baseline),ID,Norm,ModRepro,Match,KQ3433,KQ,3,3,3,C,,A:C,G,,G,20190507L_4,30.0,48.0,"Same Model, Same Sess, FMJ",040,040
KQ3544,Primary (Baseline),Excl,Norm,ModRepro,NonMatch,KQ3544,KQ,3,3,3,B,,A:B,G,,G,20190416B_2,,,"Diff Make, FMJ",038,038
KQ3609,Primary (Baseline),Excl,Norm,ModRepro,NonMatch,KQ3609,KQ,3,3,3,B,,A:B,G,,G,20190415R_4,,,"Same Model, Diff Sess, FMJ",038,038
KQ3805,Primary (2nd assignments),Insuff,VDiff,LowRepro,Inconclusive,KQ3805,KQ,3,5,5,B,,A:B,G,,G,20190507L_1,100.0,118.0,"Same Model, Diff Sess, FMJ",040,040
KQ3805,Primary (Baseline),ID,Norm,ModRepro,Match,KQ3805,KQ,3,5,5,B,,A:B,G,,G,20190507L_1,100.0,118.0,"Same Model, Diff Sess, FMJ",040,040
KQ3869,Primary (2nd assignments),Excl,Norm,ModRepro,NonMatch,KQ3869,KQ,3,5,5,A,,A:A,P,,P,20190416C_1,,,"Diff Model, JHP",038,038
KQ3869,Primary (Baseline),Excl,Norm,ModRepro,NonMatch,KQ3869,KQ,3,5,5,A,,A:A,P,,P,20190416C_1,,,"Diff Model, JHP",038,038
KQ4111,Primary (Baseline),Excl,Norm,HiRepro,NonMatch,KQ4111,KQ,3,3,3,A,,A:A,P,,P,20190501E_3,,,"Same Model, Diff Sess, JHP",038,038
KQ4116,Primary (Baseline),LeanExcl,Diff,ModRepro,NonMatch,KQ4116,KQ,3,3,3,A,,A:A,P,,P,20190621O_3,,,"Same Model, Diff Sess, JHP",9ML,9ML
KQ4153,Primary (Baseline),Insuff,Diff,LowRepro,Inconclusive,KQ4153,KQ,3,3,3,B,,A:B,G,,G,20190415A_3,,,"Diff Model, FMJ",038,038
KQ4162,Primary (Baseline),LeanID,Diff,ModRepro,Match,KQ4162,KQ,3,3,3,A,,A:A,P,,P,20190508L_0,0.0,8.0,"Same Model, Same SubSess, Polygonal, FMJ",9ML,9ML
KQ4264,Primary (Baseline),Excl,Norm,ModRepro,NonMatch,KQ4264,KQ,3,3,3,B,,A:B,G,,G,20190507K_1,,,"Same Model, Diff Sess, JHP",040,040
KQ4279,Primary (Baseline),Insuff,VDiff,LowRepro,Inconclusive,KQ4279,KQ,3,3,3,A,,A:A,P,,P,20190508O_2,,,"Same Model, Diff Sess, Polygonal, FMJ",9ML,9ML
KQ4355,Primary (Baseline),Excl,Norm,ModRepro,NonMatch,KQ4355,KQ,3,3,3,C,,A:C,B,,B,20190507M_1,,,"Diff Make, FMJ, Poor quality",9ML,9ML
KQ4403,Primary (Baseline),ID,Norm,LowRepro,Match,KQ4403,KQ,3,3,3,A,,A:A,P,,P,20190501P_0,0.0,8.0,"Same Model, Same SubSess, FMJ",040,040
KQ4502,Primary (Baseline),ID,Norm,ModRepro,Match,KQ4502,KQ,3,3,3,B,,A:B,G,,G,20190508H_4,30.0,48.0,"Same Model, Same Sess, JHP",9ML,9ML
KQ4503,Primary (Baseline),Excl,Norm,ModRepro,NonMatch,KQ4503,KQ,3,3,3,A,,A:A,P,,P,20190415O_3,,,"Same Model, Diff Sess, JHP",038,038
KQ4860,Primary (Baseline),ID,Norm,HiRepro,Match,KQ4860,KQ,3,3,3,A,,A:A,P,,P,20190313C_0,0.0,8.0,"Same Model, Same SubSess, JHP",9ML,9ML
KQ1115,Primary (Baseline),ID,Norm,HiRepro,Match,KQ1115,KQ,3,3,3,B,,A:B,G,,G,20190508F_4,30.0,48.0,"Same Model, Same Sess, JHP",9ML,9ML
KQ1144,Primary (Baseline),ID,VDiff,LowRepro,Match,KQ1144,KQ,2,3,3,A,,A:A,P,,P,20190501Q_1,40.0,58.0,"Same Model, Diff Sess, FMJ",040,040
KQ1199,Primary (Baseline),LeanExcl,Diff,LowRepro,NonMatch,KQ1199,KQ,3,3,3,A,,A:A,P,,P,20190501B_1,,,"Diff Make, FMJ",038,038
KQ1224,Primary (Baseline),ID,Norm,HiRepro,Match,KQ1224,KQ,3,3,3,A,,A:A,G,,G,20190320F_1,0.0,8.0,"Same Model, Same SubSess, JHP",9ML,9ML
KQ1227,Primary (Baseline),LeanExcl,Norm,HiRepro,NonMatch,KQ1227,KQ,2,3,3,B,,A:B,G,,G,20190412U_2,,,"Diff Model, JHP",038,038
KQ1266,Primary (Baseline),Excl,Norm,HiRepro,NonMatch,KQ1266,KQ,1,1,1,B,,A:B,G,,G,20190416H_1,,,"Diff Make, FMJ",038,038
KQ1302,Primary (Baseline),LeanID,VDiff,LowRepro,Match,KQ1302,KQ,2,3,5,B,,A:B,G,,G,20190416G_3,,,"Same Model, Diff Sess, FMJ",038,038
KQ1595,Primary (Baseline),Insuff,Diff,LowRepro,Inconclusive,KQ1595,KQ,3,3,3,A,,A:A,P,,P,20190508L_3,,,"Same Model, Diff Sess, Polygonal, FMJ",9ML,9ML
KQ1692,Primary (Baseline),Insuff,Diff,LowRepro,Inconclusive,KQ1692,KQ,3,3,3,D,,A:D,U,,U,20190621P_0,,,"Same Model, Diff Sess, FMJ, Poor quality",9ML,9ML
